Pengguna,Waktu,Ulasan
d*****e,"2025-04-05 10:28 | Variasi: SC-734,3 METER",Thank you seller! Overall berfungsi dengan baik semoga awet
d*****a,"2024-10-21 23:45 | Variasi: SC-734,10 METER","Sesuai pesanan, sudah dicoba dan berfungsi dengan baik"
,"2024-12-18 14:24 | Variasi: SC-733,5 METER","Paketnya sdh diterima ,packaging rapi ,brgnya recomed ,thx ya 🙏"
,"2024-11-28 07:16 | Variasi: SC-733,10 METER",
,"2026-01-15 21:55 | Variasi: SC-734,5 METER",Pesanan sampai dengan selamat tidak kurang satu apapun dan berfungsi dengan baik. Semoga awet sampe kakek nenek
e*****i,"2026-01-15 12:21 | Variasi: SC-732,5 METER",Harga terjangkau dan sangat berguna untuk keseharian dalam berhidup
,"2024-03-22 18:06 | Variasi: SC-735,10 METER","Bagus semoga awet,, proses cepat, pengiriman cepat"
n*****5,"2025-07-07 08:06 | Variasi: SC-733,1.5 METER",
a*****_,"2025-05-24 15:46 | Variasi: SC-735,5 METER",Berfungsi dgn baik dan memuaskan. Harganya juga murah sih untuk panjang 5m dan 5 colokan
,"2025-07-07 13:05 | Variasi: SC-732,3 METER","packing dan pengiriman cpt, order kemarin siang, pagi ini udh dtng, barang baguss ga lobok kgk s*nfre3"
,"2023-07-03 06:10 | Variasi: SC-733,5 METER",Barang bagus sesuai juga kurir ramah juga ok lahh bguss
a*****5,"2025-04-28 19:33 | Variasi: SC-734,5 METER",MUANTAP
n*****i,"2025-03-29 15:32 | Variasi: SC-734,10 METER","Sampai cepat, jumlah tepat, belum dibuka dari plastik dan belim di gunakan, semoga dapat bermanfaat, terimakasih"
,"2024-12-02 10:53 | Variasi: SC-734,1.5 METER",Barang sudah sampe lumayan lah bagus sesuai gambar
,"2025-08-07 14:27 | Variasi: SC-733,10 METER",Barang sesuai pesanan
,"2025-09-09 09:17 | Variasi: SC-733,1.5 METER",
,"2023-09-11 11:38 | Variasi: SC-734,3 METER",
,"2025-10-04 16:43 | Variasi: SC-733,1.5 METER","Barang sudah sampai dengan selamat.
Penggunaan juga berfungsi dengan baik 👍🏻"
,"2026-02-01 18:52 | Variasi: SC-733,3 METER","Barang yang yang datang sesuai dengan yang dipesankan, ok."
,"2025-10-26 05:31 | Variasi: SC-734,5 METER","Alhamdulillah paket sampai sesuai pesanan👍. Barang bagus, kuat, berfungsi baik. Pengemasan aman, harga murah, recommended. Terimakasih seller dan kurir belanja jadi mudah dan nyaman."
b*****3,"2026-01-18 12:05 | Variasi: SC-735,1.5 METER","Mksih gan, pkt dh sampai proses n pengiriman cpt, packing aman barang sesuai pesanan"
a*****1,"2025-09-18 20:23 | Variasi: SC-734,1.5 METER",sangat bermanfaat saya suka sekali beli ges ga nyesel beli disini yu gas murah meriah
e*****h,"2025-12-22 20:27 | Variasi: SC-732,5 METER",Diterima dengan baik barang bagus sekali
,"2023-08-05 14:12 | Variasi: SC-733,10 METER",Bagus nyala semua
e*****3,"2025-09-01 15:35 | Variasi: SC-732,3 METER","Terima kasih shopee, seller n bang kurir sudah amanah mengirim paket dengan aman, pengemasan rapi, pengiriman juga cepat, yg satu udah dipakai, dan berfungsi dgn baik 👍👍👍👍👍👍"
b*****k,"2024-09-18 17:32 | Variasi: SC-733,10 METER",
,"2023-06-30 20:42 | Variasi: SC-733,1.5 METER",
s*****a,"2025-09-28 07:55 | Variasi: SC-735,10 METER","Proses pengiriman cepat, respon admin baik, produk sesuai deskripsi dan pesanan, next bakal order lagi, kualitas bagus, asli dan berguna sesuai fungsinya"
f*****h,"2025-10-20 05:56 | Variasi: SC-733,10 METER",Beli di Shopee lebih murah karena pake voucher
,"2026-03-05 15:32 | Variasi: SC-735,3 METER","Alhamdulillah.. paket udah saya terima dengan baik, barang real pick sesuai dengan pesanan dan hasil yang sangat memuaskan 🤗🤗🤗"
c*****a,"2024-08-04 17:15 | Variasi: SC-734,10 METER","Baik
Gud"
d*****1,"2025-11-09 19:25 | Variasi: SC-734,5 METER","Bagus produknya, harganya juga terjangkau, kualitas oke, mudah2an awet di pakainya, paking aman, pengiriman cepat, makasih seller."
,"2026-02-11 12:06 | Variasi: SC-732,5 METER","Oke ,,murah dan kualitas juga oke ,aku suka dan gampang buat didibawa kemana² karna colokann nha 2 ,aku beli yg 2 lobang ,dab tali panjang biar menjakut jarak jauh ,seler nya semoga laris manis"
p*****4,"2025-04-26 10:43 | Variasi: SC-734,3 METER","mendarat dgn safety makasih kak owner jdi kecandu mau repeat order dsini saja
sukses slalu kak owner"
,"2025-06-08 12:48 | Variasi: SC-732,5 METER","Mantap pokoknya mah, barang real pack, pengiriman juga cepat, tokohnya amanah, next bakal order lagi."
,"2025-04-12 12:09 | Variasi: SC-734,5 METER",
,"2025-10-17 20:48 | Variasi: SC-732,3 METER","Moga awet
Jaga kualitas banyak pelanggan"
,"2026-01-10 17:13 | Variasi: SC-732,5 METER",
u*****s,"2025-10-23 16:54 | Variasi: SC-735,5 METER",Produk sesuai dan berfungsi dengan baik 😊
a*****a,"2025-11-16 14:59 | Variasi: SC-734,5 METER",
,"2025-06-19 15:00 | Variasi: SC-734,10 METER",Barang sudah sampai.. tokonya amanah.. keren betul.. kurir nya baik.. terimakasih
a*****n,"2025-04-26 08:16 | Variasi: SC-735,10 METER","Produknya bagus, sesuai dengan foto dan harga"
m*****f,"2025-11-20 17:05 | Variasi: SC-732,1.5 METER","Pesanan sudah sampai sesuai dengan yg dipesan, terimakasih..."
,"2026-01-10 09:20 | Variasi: SC-735,5 METER",
,"2025-02-20 13:57 | Variasi: SC-732,3 METER","Sesuai pesanan terimakasih 🫰🫰 barang cepet sekali nyampenya 
.
Puass 👏👏"
j*****n,"2025-08-09 17:34 | Variasi: SC-733,1.5 METER","Sdh diterima dgn baik, packing rapi dan aman, barang lengkap. Pengiriman dan pengemasan cepat. Kurir OK, kualitas barang OK sesuai harga. Terimakasih banyak Shopee dan seller."
,"2025-05-05 20:02 | Variasi: SC-733,5 METER, SC-734,5 METER, SC-734,3 METER, ...","Oke, ukuran, jumlah sesuai orderan, kualitas Oke bagus, SNI packing aman, respon cepat pokoknya puas, terima kasih...."
,"2025-02-05 17:35 | Variasi: SC-732,5 METER",
r*****2,"2025-02-02 15:56 | Variasi: SC-732,1.5 METER","Ok sesuai deskripsi.. 
Berfungsi dengan baik.."
,"2026-02-16 15:58 | Variasi: SC-733,1.5 METER",Alhamdulillah
i*****h,"2024-06-23 13:25 | Variasi: SC-733,3 METER","Pengiriman cpt
Harga murah
Dari awal beli ampe sekarang udh 1 bulan lebih blm.dipakai, karna buat cadangan
Semoga nty pas dipakai awet"
,"2025-03-24 11:28 | Variasi: SC-733,5 METER",Paketnya sudah sampai terima kasih
,"2025-10-10 13:27 | Variasi: SC-734,3 METER",Kabelnya elastis tebal semoga awet ya
s*****h,"2025-11-13 16:08 | Variasi: SC-733,5 METER, SC-732,5 METER, SC-733,3 METER, ...","Pengemasan baik, sesuai pesanan dan etalase penjual. Dikirim dengan aman, semoga tidak ada kabel yang lepas di dalamnya. Kalau sekilas dilihat dan diangkat kemasannya, kokoh dan solid."
,"2026-02-16 16:37 | Variasi: SC-732 HITAM,1.5 METER",
s*****u,"2023-10-13 15:40 | Variasi: SC-734,5 METER",Semoga bertahan lama
,"2026-01-29 22:23 | Variasi: SC-735,10 METER",Pengiriman cepat dan barang sesuai dengan yang di gambar. Terimakasih
,"2025-05-26 16:48 | Variasi: SC-734,3 METER",
,"2025-12-31 19:10 | Variasi: SC-733,5 METER, SC-732,1.5 METER",
d*****6,"2025-10-02 12:26 | Variasi: SC-733,3 METER",Mantap
,"2026-04-13 15:48 | Variasi: SC-734 HITAM,3 METER","Sesuai order,cukup aman jg kualitasnya..
Pengiriman super cepat
Terimakasih"
,"2023-12-13 14:21 | Variasi: SC-734,3 METER",
,"2024-06-27 12:19 | Variasi: SC-733,3 METER",
,"2024-09-29 07:11 | Variasi: SC-732,1.5 METER",Terimakasih
z*****a,"2025-10-23 17:33 | Variasi: SC-738 USB,5 METER","Cocok bgt harganya dan kualitas nya juga mudah2an bagus dan awet, lengkap dg colokan USB dan Type C"
t*****s,"2025-06-18 23:34 | Variasi: SC-734,1.5 METER",
s*****i,"2025-07-20 22:58 | Variasi: SC-735,5 METER, SC-734,5 METER",Semua lubang berfungsi dengan baik. Tidak ada rusak
,"2025-04-06 10:33 | Variasi: SC-733,5 METER",Good quality dan pengiriman barang nya sangat cepat dan mudah di gunakan
f*****7,"2025-12-10 14:51 | Variasi: SC-733,1.5 METER","Pengemasan dan pengiriman sangat cepat, produk sesuai gambar, harga murah, ketiga colokan bisa cuma 1 agak keras"
,"2025-06-19 12:03 | Variasi: SC-732,5 METER",Barang sudah mendarat dengan selamat overall barangnya bagus sesuai deskripsi
,"2025-01-09 20:07 | Variasi: SC-733,5 METER",Keamanan bubble wrap nya manteb
z*****r,"2025-07-14 04:28 | Variasi: SC-733,5 METER","Fungsi & ketentuan panjangnya sesuai, yang ga masuk akal tuh pengirimannya. Check out jam setengah 8 malem besoknya dijam 6 setelah magrib uda sampe padahal pengiriman dari tanggerang - semarang gila sih. Overall good 👍🏼"
a*****_,"2025-11-14 17:51 | Variasi: SC-734,5 METER",Alhamdulillah barangnya sudah datang dengan baik terimakasih toko shopee dan pak kurir
,"2026-01-10 17:29 | Variasi: SC-732,3 METER","Produk original sesuai deskripsi,,, pengemasan rapi recommended seller"
,"2025-07-26 07:09 | Variasi: SC-733,1.5 METER",Tadinya kirain ga bisa nyala karna harganya murah banget tapi pas dicoba ternyata berfungsi dengan baik dan ini udah beberapa minggu masih nyala ga ada masalah semoga awet ya amin. Makasih sellee lancar terus rezekinya
,"2025-10-26 09:54 | Variasi: SC-734,5 METER, SC-733,5 METER, SC-734,3 METER, ...",Barang bagus bgt asli barang original cocok buat pribadi dan penjual joss poko e barang gak nyesel beli dcni barang istimewa
,"2025-04-19 19:40 | Variasi: SC-734,5 METER",berfungsi dg baik. sesuai harga deh memng aga susah dimasukin tapi masih oke kok. murah jugaa
e*****3,"2025-05-02 09:33 | Variasi: SC-735,10 METER",Semoga selalu amanah ya belum di coba semoga awet dan tahan lama
i*****a,"2025-02-14 14:37 | Variasi: SC-735,5 METER","Bagus barangnya,packing rapi"
m*****7,"2024-03-09 11:54 | Variasi: SC-732,5 METER, SC-732,1.5 METER","Sdh dicoba, berfungsi sebagai mana mestinya. Sampainya pun terbilang ok. Hy kurirnya melempar brgnya."
,"2025-09-12 15:56 | Variasi: SC-735,10 METER, SC-732,1.5 METER",Terimakasih kakak seller barangnya sudah sampai dengan ok
n*****0,"2024-08-29 01:15 | Variasi: SC-732,1.5 METER","Packing rapih,pengiriman lumayan cepat dan harga terjangkau"
,"2025-12-29 18:51 | Variasi: SC-733,1.5 METER","Sesuai gambar dan deskripsi
Maju lancar janda selalu untuk seller dan sopih 🤘"
,"2025-04-06 17:20 | Variasi: SC-733,5 METER",bagus berfungsi dengan baik ga
,"2025-06-11 06:32 | Variasi: SC-735,1.5 METER","Pengiriman cepat, pengemasan oke, kualitas barang juga baik!"
,"2024-10-13 20:55 | Variasi: SC-733,1.5 METER",Bagus banaget pengiriman cepat juga next order lagi makasih
,"2026-03-04 22:02 | Variasi: SC-735,1.5 METER","Pengiriman paket sesuai estimasi dan harapan saya. Packing bagus dan rapi, terimakasih buat seller yg telah mempacking produk kabel listrik pesanan saya..."
,"2025-05-14 18:37 | Variasi: SC-733,10 METER",Trimakasih kak sudah sampai pesanannya. Pak kurir sampai hujan hujan antar barang.
,"2025-07-24 15:50 | Variasi: SC-734,10 METER",Terimakasih min sudah amanah
,"2025-07-12 12:55 | Variasi: SC-733,3 METER","Barangnya sudah saya terima dalam keadaan baik. Pengiriman cepat, kurir baik. Semoga dapat berfungsi dengan baik. Terima kasih"
,"2025-07-07 13:26 | Variasi: SC-735,5 METER","Barang sudah datang
Sip mantap
Barang nya sesuai
Respon cepat
Pengiriman cepat"
,"2026-02-01 12:31 | Variasi: SC-733 HITAM,5 METER","Bagus, semua sesuai. Semoga awet"
,"2025-11-13 05:11 | Variasi: SC-733,5 METER",
,"2025-06-06 21:09 | Variasi: SC-732,5 METER",Alhamdulillah barang sudah mendarat dengan selamat dan barangnya sesuai pesanan terimakasih seller sukses selalu🙏😊
,"2025-12-04 15:15 | Variasi: SC-732,3 METER","berfungsi dengan baik dan benar, semoga awet"
n*****4,"2025-05-25 10:39 | Variasi: SC-733,5 METER, SC-733,3 METER, SC-732,5 METER","Packing aman, barang lengkap sesuai pesanan. Nyala juga tidak rusak."
u*****e,"2024-06-07 06:55 | Variasi: SC-734,5 METER",Berfungsi dengan baik
b*****8,"2026-02-27 14:24 | Variasi: SC-732,1.5 METER, SC-733,3 METER",Barang sesuai pesanan dan sesuai deskripsi serta pengemasan baik
,"2025-07-25 12:32 | Variasi: SC-733,3 METER",
,"2025-05-20 16:45 | Variasi: SC-734,5 METER","baguuus, berfungsi dengan baik harganya juga terjangkauu"
s*****a,"2025-12-24 16:18 | Variasi: SC-734,10 METER","Barang sampai dgn baik, pengemasan cepat, semuanya berfungsi.. thankyou"
y*****a,"2023-08-15 13:34 | Variasi: SC-734,1.5 METER",
m*****3,"2024-02-29 07:49 | Variasi: SC-735,10 METER","paket sudah smpai kemarin, semua brang berfungsi dengan baik , tanksseller"
,"2025-08-21 14:39 | Variasi: SC-733,1.5 METER","Alhamdulillah stop kontak orderanku sudah sampai, produk bagus,berfungsi dengan baik, semoga awet.
Harga murce, packing rapih banget,& pengiriman cepat.
Terimakasih seller,shopee,& abang kurir"
,"2026-04-11 11:15 | Variasi: SC-733 HITAM,3 METER","Toko yang paling kece badai 🤩 
Harga murah, ini alasan utama, hihi
Packing Aman 
Barang datang sesuai dengan pesanan 
All oke
Terima kasih byk, sukses terus ya kak tokonya 😇🤲"
,"2025-03-21 05:28 | Variasi: SC-734,5 METER",
h*****1,"2025-06-23 20:33 | Variasi: SC-734,5 METER",
,"2024-07-06 18:57 | Variasi: SC-733,1.5 METER","Udah aku coba dan berfunsi dengan baik, membantu banget buat didapur yg banyak pakai listrik. Bisa masak nasi sekalian choper bumbu. 3 lubang pas ga kebanyakan. Makasih"
,"2025-01-25 15:54 | Variasi: SC-734,5 METER","Paketnya sdh diterima, packaging rapi, brgnya recomed 👍, thx ya 🙏"
,"2024-09-20 08:30 | Variasi: SC-733,10 METER",Recommended👍🏻
,"2023-09-18 08:46 | Variasi: SC-735,10 METER",Kualitas ok
,"2026-04-06 23:02 | Variasi: SC-733,3 METER",Tarimakasih pesanan sudah di coba berfungsi dg baik
g*****u,"2025-12-12 10:56 | Variasi: SC-735,3 METER","Bagus, sayang buat kabel setrika gak bisa, kek kebesaran gitu"
n*****a,"2025-10-14 18:21 | Variasi: SC-733,3 METER","dapat harga diskon, pengiriman cepat dan aman"
,"2025-05-18 10:38 | Variasi: SC-735,10 METER",barangnya sudah sampai tapi lama
n*****o,"2024-01-27 18:55 | Variasi: SC-734,3 METER","Belum sempat di video, karena buru-buru di buka"
s*****g,"2026-02-23 04:48 | Variasi: SC-734,5 METER","Barang diterima dgb baik dan berfungsi bermanfaat tuk sambungan listrik, kabelnya juga lentur bukan yg kaku gitu."
d*****c,"2025-05-10 20:15 | Variasi: SC-734,5 METER",
,"2025-05-29 07:49 | Variasi: SC-733,5 METER","Ok banget
Pengiriman cepet 2 sampe, packing jg rapih.
Langsung dipake alhamdulilah stop kontaknya bagus"
,"2025-07-13 18:29 | Variasi: SC-734,10 METER",sudah datang sudah di pake barang nya bagus 👍
n*****s,"2026-01-13 19:57 | Variasi: SC-735,5 METER",Semuanya aman. Keren. Pengiriman pun cepat. Makasih seller
n*****6,"2024-02-28 19:14 | Variasi: SC-735,5 METER","Barang oke. Mantap lemnya. Yukk check & checkout Toko ""Nigar Berkah Makmur"" nya. Banyak promo lohh🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉"
,"2025-08-27 08:49 | Variasi: SC-734,10 METER",Sangat puas beli ditoko ini
,"2026-01-16 20:50 | Variasi: SC-735,5 METER","Sudah beli beberapa kali disini
Kualitas cukup baik, untuk watt 750 saya pakai aman sejauh ini
Ada Switch, Built Quality cukup bagus
Packing Rapih dan Aman
Respon Cepat
Recommended"
,"2024-09-09 10:05 | Variasi: SC-735,10 METER","Semoga Awet 
Terimakasih"
,"2025-12-02 03:00 | Variasi: SC-735,1.5 METER","Barang sudah sampai dengan selamat bagus, berfungsi dengan baik listrik nya semua nya hidup lobang stop kontak nya."
j*****2,"2025-08-04 21:52 | Variasi: SC-734,1.5 METER",Mantap lah pokoknya barang sampai dalam keadaan aman gak ada yang lecet
,"2026-02-25 09:46 | Variasi: SC-733,1.5 METER",
,"2025-04-19 12:38 | Variasi: SC-735,10 METER","Barang sesuai deskripsi
Harga sesuai standar
Thanks seller"
,"2024-03-27 13:54 | Variasi: SC-734,5 METER","Lumayan sesuai dengan harganya, semoga awet, barang cepat datang.. Bagus.."
a*****8,"2023-09-08 17:54 | Variasi: SC-732,3 METER",Barang sesuai pesanan dan realpic
,"2025-07-07 16:27 | Variasi: SC-734,5 METER","Pengiriman brng tepat waktu
Dpt hrga promo
Semoga awet"
u*****1,"2025-05-26 21:27 | Variasi: SC-735,5 METER","Pengiriman sangat cepat, respon penjual sangat baik"
,"2026-04-09 11:54 | Variasi: SC-735,10 METER",Bagus tebal menyala dengan baik semoga saja awet
,"2023-06-13 17:19 | Variasi: SC-734,10 METER",Bagus 👍
,"2025-09-09 18:54 | Variasi: SC-733,3 METER","Alhamdulillah paket sudah sampai, pengiriman cepat, produk berfungsi dg baik, Terima kasih seller, Shopee dan mas kurinya."
,"2024-02-28 17:11 | Variasi: SC-734,3 METER",Ucul pokonya
,"2025-12-02 17:22 | Variasi: SC-733,1.5 METER","Respon cepat, packing rapi, harga murah, kualitas ok"
q*****3,"2025-05-17 20:10 | Variasi: SC-733,5 METER",Okelah...👍👍
,"2026-04-06 21:21 | Variasi: SC-735,5 METER",
r*****f,"2026-01-18 11:06 | Variasi: SC-732,5 METER",
u*****u,"2025-10-17 14:17 | Variasi: SC-733,1.5 METER",
n*****x,"2025-11-05 20:34 | Variasi: SC-734,3 METER","all good, pengiriman cepat"
a*****4,"2025-03-14 20:57 | Variasi: SC-733,3 METER",Bagus
j*****a,"2025-05-09 19:39 | Variasi: SC-733,1.5 METER",Maksih kak pengirimannya cepat berfungsi dg baik
,"2025-05-28 14:51 | Variasi: SC-734,3 METER",Barang sdh smpe mdh2n nnti berfungsi dg baik.dan g cpt rusak..
i*****a,"2025-08-25 11:47 | Variasi: SC-733,3 METER, SC-732,1.5 METER","barang yang di terima sesuai pesanan, pengemasan baik, pengiriman cepat"
,"2024-03-15 23:00 | Variasi: SC-734,1.5 METER","Berfungsi dgn baik, terimakasih"
,"2026-01-06 19:12 | Variasi: SC-733,5 METER",
,"2025-08-21 22:19 | Variasi: SC-734,5 METER, SC-733,5 METER, SC-732,5 METER",Barang sesuai pesanan harga juga bersaing cocok dijual kembali semoga laris cepet habis dan cepet belanja l🤲🤲🤲🤲🤲
a*****u,"2025-07-25 22:34 | Variasi: SC-734,5 METER",lumayan dengn garga sesuai
,"2025-10-16 01:07 | Variasi: SC-733,1.5 METER",
,"2026-03-31 18:30 | Variasi: SC-733 HITAM,5 METER","Harga terjangkau 
Fitur baik tidak longgar"
i*****2,"2026-02-04 21:18 | Variasi: SC-733,5 METER","Berfungsi dengan baik, sesuai pesanan, semoga awet"
n*****o,"2025-05-16 15:13 | Variasi: SC-734,3 METER, SC-735,5 METER","Tolong donk sebelum kirim barang diperiksa terlebih dahulu
Colokan yg lubang 5 susah masuk kekecilan"
1*****1,"2023-09-17 12:17 | Variasi: SC-734,1.5 METER",Barang sampai paking bagus aman tebal rapih colokan hantya kurang kenceng aja masuknya nex bisa lwbih pres lagi
k*****t,"2025-07-27 20:31 | Variasi: SC-735,5 METER",Komponen diterima dengan baik dan bisa digunakan sesuai fungsi.
,"2026-03-03 20:45 | Variasi: SC-733 HITAM,3 METER",Packingnnya rapih
,"2024-11-29 18:48 | Variasi: SC-735,10 METER",
s*****i,"2025-08-26 16:07 | Variasi: SC-734,3 METER","Ini pesanan yang ke 2x, semoga awet tidak cpet rusak..
Colokannya mudah digunakan.. Kadang ada colokan yang keras.. Alhamdulillah sejauh ini bagus semua. Pengirimannya cepet dan ontime"
i*****8,"2025-10-08 22:15 | Variasi: SC-734,5 METER",Harga standar dan berfungsi dengan baik
w*****y,"2026-02-13 10:26 | Variasi: SC-734,1.5 METER",lumayan harga segitu
e*****a,"2025-04-23 03:47 | Variasi: SC-735,5 METER","Maaf baru kasih ulasan, dua kali order di sini, stop kontaknya berfungsi dengan baik👍🏻👍🏻"
k*****3,"2024-12-03 20:38 | Variasi: SC-734,5 METER",
,"2023-12-15 05:41 | Variasi: SC-735,10 METER",
,"2025-10-28 19:13 | Variasi: SC-733,3 METER","sangat berfungsi, material bahan bagus ringan tapi kokoh. Kabel juga sangat kuat, buatan indonesia"
,"2025-05-02 17:32 | Variasi: SC-735,10 METER",Pengiriman lumayan cepat
,"2026-02-02 12:25 | Variasi: SC-734,5 METER","Makasih seller barang datang sesuai pesanan, pakingnya juga rapi,berguna banget untuk kebutuhan sehari-hari"
,"2025-05-25 10:56 | Variasi: SC-732,1.5 METER",
a*****_,"2026-02-11 22:40 | Variasi: SC-734,1.5 METER","Stop kontak udah dicoba menyala semua, kabelnya lumayan panjang bisa untuk leluasa ruang geraknya, barang tidak rusak terimakasih"
,"2025-07-29 17:28 | Variasi: SC-735,5 METER","Sangat memuaskan baru pesan langsung di kirim
Berfungsi dengan baik
Pengemasan aman dan rapi"
,"2026-01-06 11:23 | Variasi: SC-735,10 METER",
,"2026-04-05 18:04 | Variasi: SC-732,1.5 METER",Bisa digunakan dengan baik
,"2025-05-10 17:30 | Variasi: SC-734,3 METER",murah banget.. tp cukup alot masukin charge laptop hahaha
b*****n,"2026-02-07 17:59 | Variasi: SC-734 HITAM,1.5 METER","Pengiriman lama banget 
Bukan di kurir tapi pesanan di proses nya lama banget"
,"2025-07-11 11:44 | Variasi: SC-734,3 METER","Alhamdulillah sesuai pesanan mudah""han awet"
a*****7,"2024-07-25 09:38 | Variasi: SC-734,5 METER",Terima kasih seller barangnya sudah berfungsi dengan baik ada rusak sedikit tapi tidak apa apa yang penting produknya nyala terima kasih seller
t*****a,"2025-11-11 09:04 | Variasi: SC-733,1.5 METER","bagus banget barangnya original packagingnya rapi jadi barangnya aman dan harganya terjangkau lagi waktu beli juga pas gratis ongkir jadi, puas banget lah &nyampenya lumayan +- tiga harian untuk lokasi beda provinsi oke lah memuaskan semuanya ga ada yang cacat sedikitpun besok besok order lagi pasti"
u*****o,"2025-09-20 11:57 | Variasi: SC-734,5 METER",Alhamdulillah paket sdh sampai dan sesuai dengan deskripsi mksh seller shopee Abang kurir
,"2024-08-25 08:16 | Variasi: SC-735,10 METER","Terimakasih untuk pesananya yg tiba dgn selamat dan sesuai pesanan,cocok dan bagus."
,"2023-12-25 19:21 | Variasi: SC-735,5 METER","Barang sesuai pesanan.. bagus ga ada cacat
👍👍👍"
,"2025-12-14 13:22 | Variasi: SC-733,10 METER",Alhamdulillah sampai dengan selamat packing aman semoga tahan lama dan awet
e*****0,"2025-07-31 11:31 | Variasi: SC-733,5 METER, SC-735,3 METER",Pengemasan aman. Harga lumayan terjangkau. Produk lokal dan sudah SNI. Mudah²an awet dan teruji amannya. Bahan lumayan tebal dan kabel berat. Trims.
m*****7,"2026-04-07 10:28 | Variasi: SC-735 HITAM,5 METER",
,"2025-08-15 03:01 | Variasi: SC-735,10 METER",Bagus dan pengiriman cepat
,"2026-02-23 21:08 | Variasi: SC-733,3 METER",
,"2026-02-11 15:28 | Variasi: SC-735 HITAM,5 METER","Paket pesanan udah saya terima stop kontaknya nyala berpungsi sesuai pesanan respon toko , pengiriman  cepet bagus terimakasih"
d*****u,"2025-11-14 12:10 | Variasi: SC-735,5 METER",sesuai pesanan harga murah cepat sampai terima kasih seller
t*****3,"2023-10-06 20:32 | Variasi: SC-734,5 METER","Bagus, mudahanawet"
a*****7,"2025-05-08 09:55 | Variasi: SC-733,10 METER",
i*****i,"2026-02-20 16:15 | Variasi: SC-733,1.5 METER","Barang sudah sampai dengan aman, pengiriman lumayan, good"
,"2025-12-10 22:27 | Variasi: SC-735,10 METER",Barang berfungsi dengan baik dan normal
,"2025-05-19 14:13 | Variasi: SC-732,3 METER",
,"2025-06-06 02:09 | Variasi: SC-735,5 METER",
,"2026-03-06 15:00 | Variasi: SC-735 HITAM,5 METER",
,"2025-03-28 16:18 | Variasi: SC-732,3 METER, SC-732,5 METER",
k*****m,"2025-05-03 14:58 | Variasi: SC-734,5 METER",
h*****0,"2026-04-13 18:46 | Variasi: SC-733,1.5 METER","Stop kontaknya bagus, berfungsi dengan baik"
s*****h,"2025-07-14 14:04 | Variasi: SC-733,1.5 METER, SC-732,1.5 METER","Sesuai dengan etalase, paket sampai dengan jumlah cukup, pengemasan juga baik. Setiap pcs diplastikin. Mantap"
,"2025-06-09 16:08 | Variasi: SC-732,5 METER",top markotop pokoe
,"2025-02-15 17:13 | Variasi: SC-733,5 METER","Bagus banget, berfungsi dengan baik dan panjang"
l*****_,"2026-01-05 21:51 | Variasi: SC-735,10 METER","Bagus, semoga awet."
,"2025-09-04 19:52 | Variasi: SC-734,5 METER",
e*****h,"2026-02-15 19:56 | Variasi: SC-734,5 METER","Alhamdulillah paket aku sudah smpai,lumayan bgus,smoga awet tahan lama,n smoga aku ada Rezekinya lgi buat beli yg lain nya dtoko ini Aamiin.. ,Makasih seller n bg kurir"
m*****n,"2025-05-25 11:19 | Variasi: SC-734,3 METER",bagus pas
n*****9,"2025-07-10 05:36 | Variasi: SC-734,3 METER",Alhamdulillah berfungsi dengan baik
f*****s,"2026-02-17 16:34 | Variasi: SC-735,10 METER, SC-735,5 METER",barang lengkap sesuai pesanan. packing aman dan rapi. pengirimannya juga cepat. makasih kak✨
,"2025-05-12 15:35 | Variasi: SC-734,5 METER","Pngiriman cepet pisan dan pngemasan aman,pkonya langganan deh ❤️"
g*****h,"2025-06-19 21:16 | Variasi: SC-733,3 METER",Blm dipakai sudah lama sampai.. semoga aman mks kaa
c*****i,"2025-11-09 17:36 | Variasi: SC-735,3 METER","Semoga awet dan bisa digunakan dengan baik .
Untk pnjng 3mt cukup ."
g*****o,"2025-06-06 18:46 | Variasi: SC-733,5 METER","Paket sdh diterima dgn kondisi baik
Sesuai deskripsi
Berfungsi baik"
,"2025-11-14 12:44 | Variasi: SC-735,5 METER",Barangnya baru sampe barusan..pakingan aman terkendali..barangnya sesuai pesanan terus barang sudah pasti ori jgn di ragukan lagi..semuanya aman normal mantap pokonya👍🏻🙏🏻
m*****o,"2025-05-27 17:06 | Variasi: SC-734,3 METER",Mudah²an stop kontak yang skrg order bisa awet.. kemaren beli toko sebelah cepat rusaknya..
,"2026-03-01 15:00 | Variasi: SC-734,3 METER",
f*****i,"2025-12-09 15:41 | Variasi: SC-735,10 METER, SC-735,5 METER",Berfungsi selayaknya dan tidak menyangka mendapatkan segini. Bagus
,"2025-05-09 19:53 | Variasi: SC-732,5 METER",Fast respon...packing rapi...pengiriman lumayan cepat..murah n Kurir ramah
b*****7,"2025-12-10 07:03 | Variasi: SC-733,5 METER","Barang bagus, pengiriman cepat, recomended"
a*****i,"2025-07-07 01:01 | Variasi: SC-735,5 METER","Panjangnya pas, sangat oke"
a*****1,"2025-09-19 16:57 | Variasi: SC-734,3 METER",sgt berfungsi baik saya suka sekali murah ges yu beli ori juga ga nyesel beli disini mari kita coba ges seneng bgt
s*****6,"2025-05-24 17:20 | Variasi: SC-732,1.5 METER","Pengiriman cepat.,.....packing rapi.....berfungsi dengan baik...bagus"
